src,dst,weight,sign
ADAL,ADLL,2.0,1
ADAL,AIAL,2.0,1
ADAL,AIBL,2.0,1
ADAL,AIBR,2.0,1
ADAL,AVAL,3.0,1
ADAL,AVAR,7.0,1
ADAL,AVBL,5.0,1
ADAL,AVBR,21.0,1
ADAL,AVDL,1.0,1
ADAL,AVDR,2.0,1
ADAL,AVEL,3.0,1
ADAL,AVJR,11.0,1
ADAL,PVPL,1.0,1
ADAL,RICL,3.0,1
ADAL,RICR,1.0,1
ADAL,RID,1.0,1
ADAL,RIML,9.0,1
ADAL,RIPL,4.0,1
ADAL,SMDVR,3.0,1
ADAL,URAVL,1.0,1
ADAL,URXL,2.0,1
ADAR,AIBL,1.0,1
ADAR,AIBR,3.0,1
ADAR,ASHR,2.0,1
ADAR,AVAR,8.0,1
ADAR,AVBL,8.0,1
ADAR,AVBR,15.0,1
ADAR,AVDL,2.0,1
ADAR,AVDR,3.0,1
ADAR,AVEL,1.0,1
ADAR,AVJL,13.0,1
ADAR,PVR,6.0,1
ADAR,RIFR,1.0,1
ADAR,RIMR,15.0,1
ADAR,RIPR,9.0,1
ADAR,RIVR,5.0,1
ADAR,SMDVL,1.0,1
ADAR,URXR,2.0,1
ADAR,URYDR,2.0,1
ADEL,ADAL,1.0,1
ADEL,ADER,5.0,1
ADEL,ALML,1.0,1
ADEL,AVAL,7.0,1
ADEL,AVAR,9.0,1
ADEL,AVDL,2.0,1
ADEL,AVEL,3.0,1
ADEL,AVHL,2.0,1
ADEL,AVL,1.0,1
ADEL,BDUL,1.0,1
ADEL,CEPDL,1.0,1
ADEL,FLPL,4.0,1
ADEL,IL1L,3.0,1
ADEL,IL2L,5.0,1
ADEL,OLLL,6.0,1
ADEL,RIAL,2.0,1
ADEL,RIFL,1.0,1
ADEL,RIGL,18.0,1
ADEL,RIGR,15.0,1
ADEL,RIH,3.0,1
ADEL,RIVL,2.0,1
ADEL,RIVR,2.0,1
ADEL,RMDL,11.0,1
ADEL,RMER,1.0,1
ADEL,RMGL,7.0,1
ADEL,RMHL,1.0,1
ADEL,RMHR,2.0,1
ADEL,SAADR,1.0,1
ADEL,SIADR,2.0,1
ADEL,SIBVR,2.0,1
ADEL,SMBDR,1.0,1
ADEL,SMBVL,2.0,1
ADEL,URBL,2.0,1
ADEL,VB01,2.0,1
ADER,ADAR,1.0,1
ADER,ADEL,3.0,1
