neuron_id,class,is_sensor,is_motor
ADAL,unknown,0,0
ADAR,unknown,0,0
ADEL,unknown,1,0
ADER,unknown,1,0
ADFL,unknown,1,0
ADFR,unknown,1,0
ADLL,unknown,1,0
ADLR,unknown,1,0
AFDL,unknown,1,0
AFDR,unknown,1,0
AIAL,unknown,1,0
AIAR,unknown,1,0
AIBL,unknown,1,0
AIBR,unknown,1,0
AIML,unknown,1,0
AIMR,unknown,1,0
AINL,unknown,1,0
AINR,unknown,1,0
AIYL,unknown,1,0
AIYR,unknown,1,0
AIZL,unknown,1,0
AIZR,unknown,1,0
ALA,unknown,1,0
ALML,unknown,1,0
ALMR,unknown,1,0
ALNL,unknown,0,0
ALNR,unknown,0,0
AQR,unknown,0,0
AS01,unknown,0,1
AS02,unknown,0,1
AS03,unknown,0,1
AS04,unknown,0,1
AS05,unknown,0,1
AS06,unknown,0,1
AS07,unknown,0,1
AS08,unknown,0,1
AS09,unknown,0,1
AS10,unknown,0,1
AS11,unknown,0,1
ASEL,unknown,0,1
ASER,unknown,0,1
ASGL,unknown,1,1
ASGR,unknown,1,1
ASHL,unknown,1,1
ASHR,unknown,1,1
ASIL,unknown,1,1
ASIR,unknown,1,1
ASJL,unknown,1,1
ASJR,unknown,1,1
ASKL,unknown,1,1
ASKR,unknown,1,1
AUAL,unknown,1,0
AUAR,unknown,1,0
AVAL,unknown,0,0
AVAR,unknown,0,0
AVBL,unknown,0,0
AVBR,unknown,0,0
AVDL,unknown,0,0
AVDR,unknown,0,0
AVEL,unknown,0,0
AVER,unknown,0,0
AVFL,unknown,0,0
AVFR,unknown,0,0
AVG,unknown,0,0
AVHL,unknown,0,0
AVHR,unknown,0,0
AVJL,unknown,0,0
AVJR,unknown,0,0
AVKL,unknown,0,0
AVKR,unknown,0,0
AVL,unknown,0,0
AVM,unknown,1,0
AWAL,unknown,1,0
AWAR,unknown,1,0
AWBL,unknown,1,0
AWBR,unknown,1,0
AWCL,unknown,1,0
AWCR,unknown,1,0
BAGL,unknown,1,0
BAGR,unknown,1,0
BDUL,unknown,0,0
BDUR,unknown,0,0
CEPDL,unknown,1,0
CEPDR,unknown,1,0
CEPVL,unknown,1,0
CEPVR,unknown,1,0
DA01,unknown,0,1
DA02,unknown,0,1
DA03,unknown,0,1
DA04,unknown,0,1
DA05,unknown,0,1
DA06,unknown,0,1
DA07,unknown,0,1
DA08,unknown,0,1
DA09,unknown,0,1
DB01,unknown,0,1
DB02,unknown,0,1
DB03,unknown,0,1
DB04,unknown,0,1
DB05,unknown,0,1
DB06,unknown,0,1
DB07,unknown,0,1
DD01,unknown,0,1
DD02,unknown,0,1
DD03,unknown,0,1
DD04,unknown,0,1
DD05,unknown,0,1
DD06,unknown,0,1
DVA,unknown,0,0
DVB,unknown,0,0
DVC,unknown,0,0
FLPL,unknown,1,0
FLPR,unknown,1,0
HSNL,unknown,0,1
HSNR,unknown,0,1
I1L,unknown,0,0
I1R,unknown,0,0
I2L,unknown,0,0
I2R,unknown,0,0
I3,unknown,0,0
I4,unknown,0,0
I5,unknown,0,0
I6,unknown,0,0
IL1DL,unknown,1,0
IL1DR,unknown,1,0
IL1L,unknown,1,0
IL1R,unknown,1,0
IL1VL,unknown,1,0
IL1VR,unknown,1,0
IL2DL,unknown,1,0
IL2DR,unknown,1,0
IL2L,unknown,1,0
IL2R,unknown,1,0
IL2VL,unknown,1,0
IL2VR,unknown,1,0
LUAL,unknown,0,0
LUAR,unknown,0,0
M1,unknown,0,1
M2L,unknown,0,1
M2R,unknown,0,1
M3L,unknown,0,1
M3R,unknown,0,1
M4,unknown,0,1
M5,unknown,0,1
MCL,unknown,0,1
MCR,unknown,0,1
MI,unknown,0,1
NSML,unknown,1,0
NSMR,unknown,1,0
OLLL,unknown,1,0
OLLR,unknown,1,0
OLQDL,unknown,1,0
OLQDR,unknown,1,0
OLQVL,unknown,1,0
OLQVR,unknown,1,0
PDA,unknown,0,0
PDB,unknown,0,0
PDEL,unknown,1,0
PDER,unknown,1,0
PHAL,unknown,1,0
PHAR,unknown,1,0
PHBL,unknown,1,0
PHBR,unknown,1,0
PHCL,unknown,1,0
PHCR,unknown,1,0
PLML,unknown,1,0
PLMR,unknown,1,0
PLNL,unknown,0,0
PLNR,unknown,0,0
PQR,unknown,0,0
PVCL,unknown,0,0
PVCR,unknown,0,0
PVDL,unknown,0,0
PVDR,unknown,0,0
PVM,unknown,1,0
PVNL,unknown,0,0
PVNR,unknown,0,0
PVPL,unknown,0,0
PVPR,unknown,0,0
PVQL,unknown,0,0
PVQR,unknown,0,0
PVR,unknown,0,0
PVT,unknown,0,0
PVWL,unknown,0,0
PVWR,unknown,0,0
RIAL,unknown,0,0
RIAR,unknown,0,0
RIBL,unknown,0,0
RIBR,unknown,0,0
RICL,unknown,0,0
RICR,unknown,0,0
RID,unknown,0,0
RIFL,unknown,0,0
RIFR,unknown,0,0
RIGL,unknown,0,0
RIGR,unknown,0,0
RIH,unknown,0,0
RIML,unknown,0,0
RIMR,unknown,0,0
RIPL,unknown,0,0
RIPR,unknown,0,0
RIR,unknown,0,0
RIS,unknown,0,0
RIVL,unknown,0,0
RIVR,unknown,0,0
RMDDL,unknown,0,1
RMDDR,unknown,0,1
RMDL,unknown,0,1
RMDR,unknown,0,1
RMDVL,unknown,0,1
RMDVR,unknown,0,1
RMED,unknown,0,1
RMEL,unknown,0,1
RMER,unknown,0,1
RMEV,unknown,0,1
RMFL,unknown,0,1
RMFR,unknown,0,1
RMGL,unknown,0,1
RMGR,unknown,0,1
RMHL,unknown,0,1
RMHR,unknown,0,1
SAADL,unknown,0,0
SAADR,unknown,0,0
SAAVL,unknown,0,0
SAAVR,unknown,0,0
SABD,unknown,0,1
SABVL,unknown,0,1
SABVR,unknown,0,1
SDQL,unknown,0,0
SDQR,unknown,0,0
SIADL,unknown,0,0
SIADR,unknown,0,0
SIAVL,unknown,0,0
SIAVR,unknown,0,0
SIBDL,unknown,0,0
SIBDR,unknown,0,0
SIBVL,unknown,0,0
SIBVR,unknown,0,0
SMBDL,unknown,0,1
SMBDR,unknown,0,1
SMBVL,unknown,0,1
SMBVR,unknown,0,1
SMDDL,unknown,0,1
SMDDR,unknown,0,1
SMDVL,unknown,0,1
SMDVR,unknown,0,1
URADL,unknown,0,0
URADR,unknown,0,0
URAVL,unknown,0,0
URAVR,unknown,0,0
URBL,unknown,0,0
URBR,unknown,0,0
URXL,unknown,1,0
URXR,unknown,1,0
URYDL,unknown,1,0
URYDR,unknown,1,0
URYVL,unknown,1,0
URYVR,unknown,1,0
VA01,unknown,0,1
VA02,unknown,0,1
VA03,unknown,0,1
VA04,unknown,0,1
VA05,unknown,0,1
VA06,unknown,0,1
VA07,unknown,0,1
VA08,unknown,0,1
VA09,unknown,0,1
VA10,unknown,0,1
VA11,unknown,0,1
VA12,unknown,0,1
VB01,unknown,0,1
VB02,unknown,0,1
VB03,unknown,0,1
VB04,unknown,0,1
VB05,unknown,0,1
VB06,unknown,0,1
